,Estimate,SE,LowerCI,UpperCI,t,Df,p,min,max
(Intercept),-3146.74,1170.3,-5496.87,-650.76,-2.42,16.37,0.027,-3635.94,-2668.09
trialtype_agentinanimate,1929.43,1308.97,-1053.47,4758.57,1.32,22.25,0.199,1165.64,2716.02
agent_firstinanimate,2125.23,1446.58,-659.08,5158.5,1.36,15.24,0.193,1056.7,4050.37
z.session,-66.36,606.97,-1302.7,1134.04,-0.13,17.95,0.899,-679.5,286.58
