,Estimate,SE,LowerCI,UpperCI,t,Df,p,min,max
(Intercept),-552.95,200.34,-938.8,-148.34,-2.17,6.16,0.072,-687.6,-325.75
conditionhand,221.69,165.77,-107.05,553.99,1.15,19.05,0.263,138.23,310.69
condition_firsthand,110.32,230.59,-377.48,578.64,0.48,7.26,0.644,-195.65,270.12
z.session,-71.15,88.65,-244.18,112.4,-0.81,10.74,0.437,-120.79,16.58
target_locationup,-195.62,218.21,-692.71,263.17,-0.93,6.16,0.388,-343.98,56.24
