,Estimate,SE,LowerCI,UpperCI,t,Df,p,min,max
(Intercept),-199.22,174.56,-552,188.85,-0.89,10.02,0.394,-328.3,-67.08
conditionhand,77.69,143.88,-186.8,341.9,0.62,32.16,0.54,-75.25,232.23
condition_firsthand,-311.29,204.21,-734.74,76.36,-1.4,8.27,0.197,-629.7,62.07
z.session,-123.4,76.66,-289.49,31.74,-1.43,13.7,0.175,-174.54,-92.06
target_locationup,84.02,209.82,-358.83,528.68,0.38,8.27,0.714,-286.14,404.53
