,Estimate,SE,LowerCI,UpperCI,t,Df,p,min,max
(Intercept),1374.08,363.41,671.15,2114.92,3.54,23.2,0.002,915.77,1641.84
IAold_goal_new_side,64.06,513.04,-956.39,1074.39,0.12,19.01,0.908,-727.38,759.03
trialtype_agentinanimate,-1106.94,473.87,-2016.18,-132.85,-2.17,22.47,0.04,-1638.5,70.33
IAold_goal_new_side:trialtype_agentinanimate,1595.57,751.62,151.88,3086.75,1.98,24.15,0.059,-48.15,2700.58
