"","Estimate","SE","LowerCI","UpperCI","t","Df","p","min","max"
"(Intercept)","-517.05","676.06","-1944.54"," 803.98","-0.71","16.33","0.490","-780.57"," 290.51"
"agent_showninanimate"," 728.81","604.70"," -396.53","1847.00"," 1.12","17.35","0.278"," 281.85","1420.75"
"agent_firstinanimate"," 463.18","870.91","-1196.72","2137.30"," 0.49","15.03","0.630","-238.33"," 873.21"
"z.session_within","  -7.92","283.23"," -573.65"," 597.56","-0.03","15.50","0.978","-207.94","  95.72"
