"","Estimate","SE","LowerCI","UpperCI","t","Df","p","min","max"
"(Intercept)","-161.11","146.50","-436.19","156.95","-0.89","12.13","0.389","-238.41"," -35.45"
"conditionhand","  76.43","144.16","-222.06","342.86"," 0.57","32.48","0.572"," -76.13"," 238.65"
"condition_firsthand","-282.50","190.98","-692.71","100.08","-1.41"," 9.13","0.192","-405.80","-139.04"
"z.session","-121.30"," 76.82","-296.55"," 44.44","-1.42","12.79","0.180","-175.89"," -72.60"
