"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-0.81","0.59","-1.98","0.39","-1.37","0.170","  NA",NA,"   NA"
"trialtype_agentinanimate"," 0.74","0.55","-0.33","1.80"," 1.35","0.176","1.78",1,"0.182"
"z.session_within"," 0.23","0.23","-0.20","0.62"," 1.03","0.304","1.26",1,"0.261"
"agent_firstinanimate","-0.51","0.39","-1.33","0.26","-1.31","0.189","1.69",1,"0.194"
"old_goal_objectelephant"," 0.66","0.58","-0.53","1.73"," 1.14","0.255","1.44",1,"0.230"
