,Estimate,SE,LowerCI,UpperCI,t,Df,p,min,max
(Intercept),-274.73,711.08,-1564.47,1191.3,-0.37,23.32,0.716,-566.33,319.46
trialtype_agentinanimate,-1083.05,505.65,-2111.9,-68.58,-2.07,24.32,0.049,-1374,-840.75
agent_firstinanimate,121.56,905.34,-1552.25,1779.57,0.13,16.33,0.9,-425.29,445.05
z.session,-158.86,278.95,-680.58,392.45,-0.55,14.03,0.591,-270.11,-16.53
