"","Estimate","SE","LowerCI","UpperCI","t","Df","p","min","max"
"(Intercept)","-645.58","153.93","-975.85","-348.71","-3.52"," 6.36","0.011","-777.19","-491.22"
"conditionhand"," 240.90","171.34","-121.19"," 587.40"," 1.19","18.95","0.249"," 148.38"," 334.77"
"condition_firsthand"," 110.64","222.02","-339.31"," 587.09"," 0.44"," 6.92","0.676","-193.66"," 293.56"
"z.session"," -66.77"," 88.70","-247.57"," 116.10","-0.71"," 9.15","0.495","-121.96","  22.33"
