"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald","min_stab","max_stab"
"(Intercept)","-3.37","1.28","-20.57","-1.83","  NA",NA,"   NA","-2.63","0.01","-5.68","-2.68"
"trialtype_agentinanimate"," 1.53","1.27"," -0.90","15.38","1.44",1,"0.231"," 1.20","0.23"," 0.90"," 2.32"
"z.session_within"," 0.16","0.41"," -4.59"," 6.02","0.16",1,"0.688"," 0.40","0.69"," 0.00"," 0.59"
"agent_firstinanimate","-0.88","1.06","-13.22"," 1.23","0.79",1,"0.373","-0.84","0.40","-1.48","-0.47"
